City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Airai,TL,66.85,moderate rain,-8.9266,125.4092,Juvinal Martin
6,Lompoc,US,63.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
7,Rikitea,PF,78.58,clear sky,-23.1203,-134.9692,Pension Maro'i
11,Ancud,CL,51.8,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
12,Piacabucu,BR,75.54,clear sky,-10.4056,-36.4344,Piaçabuçu News
13,Mar Del Plata,AR,60.01,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
14,Vaini,TO,82.4,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Pacific Grove,US,51.8,fog,36.6177,-121.9166,Lovers Point Inn
22,Altamira,BR,71.91,scattered clouds,-3.2033,-52.2064,Requinte Hotel
23,Mataura,NZ,54.88,moderate rain,-46.1927,168.8643,Ellie's Villa
24,Kudahuvadhoo,MV,81.97,clear sky,2.6708,72.8944,Niyama Private Islands Maldives
25,Hilo,US,71.6,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
28,Souillac,MU,86.0,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
29,Cape Town,ZA,73.99,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
34,Cayenne,GF,77.0,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
36,Rocha,UY,65.86,clear sky,-34.4833,-54.3333,Beleza Pura B&B
39,Puerto Del Rosario,ES,62.6,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
40,San Juan De Los Morros,VE,66.06,overcast clouds,9.9115,-67.3538,Hotel La Montaña
41,Kapaa,US,75.2,broken clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
43,Eldorado,BR,72.28,heavy intensity rain,-23.7869,-54.2836,Villa Verde Hotel
44,Pozo Colorado,PY,77.92,overcast clouds,-23.4923,-58.7972,Hospedaje la Amistad
46,Avarua,CK,78.8,overcast clouds,-21.2078,-159.775,Paradise Inn
48,Inhambane,MZ,84.2,moderate rain,-23.865,35.3833,Oceano
50,Georgetown,MY,86.0,few clouds,5.4112,100.3354,Cititel Penang
51,Kavieng,PG,84.31,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
54,Port Alfred,ZA,70.0,clear sky,-33.5906,26.891,The Halyards Hotel
55,Sur,OM,75.13,clear sky,22.5667,59.5289,Sur Plaza Hotel
57,Arona,ES,61.0,few clouds,28.0996,-16.681,Paradise Court
58,Bengkulu,ID,85.35,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
59,Gualeguaychu,AR,66.0,clear sky,-33.0094,-58.5172,Hotel Los Angeles
60,East London,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
63,Paso De Los Toros,UY,68.32,overcast clouds,-32.8167,-56.5167,Complejo Isabelino
64,Victoria,HK,68.0,few clouds,22.2855,114.1577,Mini Hotel Central
65,Lagos,NG,78.73,broken clouds,6.5833,3.75,
66,Ulladulla,AU,73.4,broken clouds,-35.35,150.4667,Sandpiper Motel
67,Waitati,NZ,60.01,moderate rain,-45.75,170.5667,Arden Country House BnB Dunedin
68,Dingle,PH,81.03,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
70,Parkes,AU,82.99,broken clouds,-33.1333,148.1833,Station Motel
72,Salinopolis,BR,78.42,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
74,Bluff,NZ,56.64,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
79,Punta Arenas,CL,50.0,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
82,Puerto Ayora,EC,73.99,clear sky,-0.7393,-90.3518,Castillo Galapagos
84,Ramgarh,IN,69.8,haze,23.6333,85.5167,HOTEL TREAT RESIDENCY
85,Saint-Philippe,RE,87.8,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
