City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Strezhevoy,RU,60.7333,77.5889,12.2,85,90,15.66,light snow
1,Airai,TL,-8.9266,125.4092,66.85,100,100,1.54,moderate rain
2,Iqaluit,CA,63.7506,-68.5145,-4.0,77,90,2.3,light snow
3,Katsuura,JP,35.1333,140.3,46.99,51,75,5.99,broken clouds
4,Carahue,CL,-38.7,-73.1667,42.8,100,40,2.3,fog
5,Yerbogachen,RU,61.2767,108.0108,-41.6,79,51,3.04,broken clouds
6,Lompoc,US,34.6391,-120.4579,63.0,71,0,7.29,clear sky
7,Rikitea,PF,-23.1203,-134.9692,78.58,73,0,11.9,clear sky
8,Englewood,US,39.6478,-104.9878,30.0,67,100,6.08,overcast clouds
9,Severo-Kurilsk,RU,50.6789,156.125,29.01,97,85,21.45,snow
10,Okhotsk,RU,59.3833,143.3,-15.05,79,29,15.39,scattered clouds
11,Ancud,CL,-41.8697,-73.8203,51.8,93,90,5.75,overcast clouds
12,Piacabucu,BR,-10.4056,-36.4344,75.54,83,0,8.61,clear sky
13,Mar Del Plata,AR,-38.0023,-57.5575,60.01,94,90,8.05,light rain
14,Vaini,TO,-21.2,-175.2,82.4,89,75,4.61,broken clouds
15,Ensley,US,30.5188,-87.2728,42.01,75,1,4.65,clear sky
16,San Patricio,US,28.017,-97.5169,48.99,87,20,5.75,few clouds
17,Murgab,TM,37.4966,61.9714,46.4,76,0,4.61,clear sky
18,Albany,US,42.6001,-73.9662,36.0,63,100,5.99,overcast clouds
19,Pacific Grove,US,36.6177,-121.9166,51.8,100,90,7.2,fog
20,Lumberton,US,34.6182,-79.0086,35.6,69,1,4.61,clear sky
21,Ushuaia,AR,-54.8,-68.3,48.2,81,40,8.05,scattered clouds
22,Altamira,BR,-3.2033,-52.2064,71.91,88,31,1.92,scattered clouds
23,Mataura,NZ,-46.1927,168.8643,54.88,78,100,4.99,moderate rain
24,Kudahuvadhoo,MV,2.6708,72.8944,81.97,70,0,5.28,clear sky
25,Hilo,US,19.7297,-155.09,71.6,78,40,3.44,scattered clouds
26,Busselton,AU,-33.65,115.3333,91.0,23,0,5.99,clear sky
27,Yellowknife,CA,62.456,-114.3525,-5.01,77,90,9.22,light snow
28,Souillac,MU,-20.5167,57.5167,86.0,70,75,13.8,broken clouds
29,Cape Town,ZA,-33.9258,18.4232,73.99,73,0,5.75,clear sky
30,Bilibino,RU,68.0546,166.4372,-18.08,84,100,1.54,overcast clouds
31,Bethel,US,41.3712,-73.414,34.0,69,20,6.91,few clouds
32,Kenai,US,60.5544,-151.2583,36.0,64,75,17.27,broken clouds
33,Hami,CN,42.8,93.45,26.53,62,0,3.13,clear sky
34,Cayenne,GF,4.9333,-52.3333,77.0,100,75,2.3,broken clouds
35,Channel-Port Aux Basques,CA,47.5702,-59.1367,32.43,95,100,32.41,snow
36,Rocha,UY,-34.4833,-54.3333,65.86,96,0,6.87,clear sky
37,Jamestown,US,42.097,-79.2353,28.99,93,90,14.97,light snow
38,Aklavik,CA,68.2191,-135.0107,-9.4,77,99,5.75,overcast clouds
39,Puerto Del Rosario,ES,28.5004,-13.8627,62.6,67,90,11.5,overcast clouds
40,San Juan De Los Morros,VE,9.9115,-67.3538,66.06,87,95,4.79,overcast clouds
41,Kapaa,US,22.0752,-159.319,75.2,83,75,6.91,broken clouds
42,Ekhabi,RU,53.5102,142.9671,-16.22,88,13,13.0,few clouds
43,Eldorado,BR,-23.7869,-54.2836,72.28,96,100,8.93,heavy intensity rain
44,Pozo Colorado,PY,-23.4923,-58.7972,77.92,89,100,6.35,overcast clouds
45,Dikson,RU,73.5069,80.5464,-28.44,85,3,11.07,clear sky
46,Avarua,CK,-21.2078,-159.775,78.8,78,88,1.14,overcast clouds
47,Tigzirt,DZ,36.8886,4.1198,46.85,70,0,9.04,clear sky
48,Inhambane,MZ,-23.865,35.3833,84.2,84,75,4.61,moderate rain
49,Nanortalik,GL,60.1432,-45.2371,25.5,95,100,5.91,overcast clouds
50,Georgetown,MY,5.4112,100.3354,86.0,70,20,9.22,few clouds
51,Kavieng,PG,-2.5744,150.7967,84.31,73,86,17.54,overcast clouds
52,Saravan,AM,39.7196,45.6483,44.6,53,40,2.1,scattered clouds
53,Barrow,US,71.2906,-156.7887,1.4,71,90,18.41,overcast clouds
