City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bredasdorp,ZA,2021-01-14 12:32:22,-34.5322,20.0403,78.8,65,3,16.11
1,Busselton,AU,2021-01-14 12:31:57,-33.65,115.3333,68.0,58,26,17.13
2,Maraa,BR,2021-01-14 12:35:57,-1.8333,-65.3667,77.92,92,100,0.98
3,Upernavik,GL,2021-01-14 12:31:59,72.7868,-56.1549,19.15,96,100,2.64
4,Mahebourg,MU,2021-01-14 12:32:41,-20.4081,57.7,82.4,69,40,11.5
5,Punta Arenas,CL,2021-01-14 12:29:08,-53.15,-70.9167,53.6,82,75,8.05
6,Kruisfontein,ZA,2021-01-14 12:32:37,-34.0033,24.7314,90.0,59,0,7.0
7,Te Anau,NZ,2021-01-14 12:31:59,-45.4167,167.7167,53.08,87,15,0.81
8,Hobart,AU,2021-01-14 12:32:11,-42.8794,147.3294,57.99,94,75,1.14
9,Bria,CF,2021-01-14 12:35:58,6.5423,21.9863,103.98,10,0,3.4
10,Albany,US,2021-01-14 12:31:52,42.6001,-73.9662,34.0,74,100,3.36
11,Lagoa,PT,2021-01-14 12:35:59,39.05,-27.9833,61.86,89,63,16.93
12,Vanavara,RU,2021-01-14 12:35:59,60.34,102.2797,-3.46,90,100,14.09
13,Curvelo,BR,2021-01-14 12:35:59,-18.7564,-44.4308,76.89,75,100,4.72
14,Kyshtovka,RU,2021-01-14 12:35:59,56.555,76.6271,-16.47,88,0,7.87
15,Puerto Ayora,EC,2021-01-14 12:35:59,-0.7393,-90.3518,73.0,96,95,4.0
16,Faanui,PF,2021-01-14 12:36:00,-16.4833,-151.75,80.22,78,8,15.14
17,Gurlan,UZ,2021-01-14 12:36:00,41.8447,60.3919,50.0,34,0,9.22
18,Haukipudas,FI,2021-01-14 12:34:07,65.1765,25.3523,-13.0,77,0,2.3
19,Ushuaia,AR,2021-01-14 12:31:22,-54.8,-68.3,44.6,93,90,12.66
20,Rikitea,PF,2021-01-14 12:31:53,-23.1203,-134.9692,76.51,78,99,12.68
21,Bluff,NZ,2021-01-14 12:29:59,-46.6,168.3333,59.0,94,8,10.0
22,Waipawa,NZ,2021-01-14 12:32:15,-41.4122,175.5153,62.6,88,0,3.44
23,Butaritari,KI,2021-01-14 12:32:04,3.0707,172.7902,80.8,81,82,20.27
24,Vuktyl,RU,2021-01-14 12:36:02,63.8567,57.3094,-18.58,86,100,3.8
25,Solnechnyy,RU,2021-01-14 12:36:02,50.7214,136.6319,-9.72,87,19,2.33
26,Somerset East,ZA,2021-01-14 12:36:02,-32.7217,25.588,93.31,28,11,4.27
27,Mokshan,RU,2021-01-14 12:36:03,53.4365,44.6132,19.99,72,100,15.52
28,Guia Lopes Da Laguna,BR,2021-01-14 12:36:03,-21.4578,-56.1142,84.52,65,100,3.47
29,Namibe,AO,2021-01-14 12:31:56,-15.1961,12.1522,82.4,54,20,8.05
30,Pingliang,CN,2021-01-14 12:36:04,35.5392,106.6861,30.18,79,10,5.73
31,Baykit,RU,2021-01-14 12:36:04,61.67,96.37,5.49,88,100,13.2
32,Coquimbo,CL,2021-01-14 12:36:05,-29.9533,-71.3436,57.2,88,90,5.75
33,Carnarvon,AU,2021-01-14 12:28:27,-24.8667,113.6333,80.6,78,4,16.11
34,Vaini,TO,2021-01-14 12:31:42,-21.2,-175.2,78.8,94,20,4.61
35,Port Hawkesbury,CA,2021-01-14 12:32:07,45.6169,-61.3485,28.99,86,90,5.75
36,Lebu,CL,2021-01-14 12:32:10,-37.6167,-73.65,57.06,77,74,13.29
37,Vila Franca Do Campo,PT,2021-01-14 12:32:00,37.7167,-25.4333,64.99,88,40,11.5
38,Dubrovka,RU,2021-01-14 12:36:07,53.6907,33.5071,14.0,79,75,2.24
39,Sri Aman,MY,2021-01-14 12:36:07,1.2376,111.4621,75.2,100,100,1.14
40,Bambous Virieux,MU,2021-01-14 12:32:58,-20.3428,57.7575,84.0,69,40,11.5
41,Felipe Carrillo Puerto,MX,2021-01-14 12:36:07,19.5833,-88.05,69.44,98,87,3.49
42,Ancud,CL,2021-01-14 12:32:20,-41.8697,-73.8203,57.0,82,0,2.3
43,Mar Del Plata,AR,2021-01-14 12:31:13,-38.0023,-57.5575,69.8,56,0,11.5
44,Shimabara,JP,2021-01-14 12:36:08,32.7833,130.3667,48.2,87,40,3.44
45,Belaya Gora,RU,2021-01-14 12:36:08,68.5333,146.4167,-23.96,87,100,5.39
46,Port Elizabeth,ZA,2021-01-14 12:32:12,-33.918,25.5701,75.2,83,75,20.71
47,Isangel,VU,2021-01-14 12:33:01,-19.55,169.2667,78.8,94,90,2.48
48,Airai,TL,2021-01-14 12:32:52,-8.9266,125.4092,64.38,100,100,0.92
49,Yellowknife,CA,2021-01-14 12:30:22,62.456,-114.3525,6.8,85,90,5.75
50,Port Hedland,AU,2021-01-14 12:31:10,-20.3167,118.5667,91.4,75,0,11.5
51,Guerrero Negro,MX,2021-01-14 12:31:58,27.9769,-114.0611,51.87,46,0,2.26
52,Lubumbashi,CD,2021-01-14 12:33:42,-11.6609,27.4794,74.59,72,100,7.7
53,Rabo De Peixe,PT,2021-01-14 12:36:10,37.8,-25.5833,64.99,88,40,11.5
54,Dunkwa,GH,2021-01-14 12:36:10,5.9656,-1.78,97.05,37,82,1.92
55,Kenai,US,2021-01-14 12:33:15,60.5544,-151.2583,28.0,86,1,11.5
